# memory size (bytes)	cycles
1151000	6250
1152000	4687
1153000	6250
1154000	6250
1155000	6250
1156000	4687
1157000	6250
1158000	6250
1159000	7812
1160000	6250
1161000	6250
1162000	4687
1163000	6250
1164000	6250
1165000	6250
1166000	6250
1167000	6250
1168000	6250
1169000	6250
1170000	6250
1171000	6250
1172000	6250
1173000	6250
1174000	6250
1175000	6250
1176000	4687
1177000	6250
1178000	6250
1179000	6250
1180000	6250
1181000	6250
1182000	6250
1183000	4687
1184000	6250
1185000	6250
1186000	6250
1187000	6250
1188000	6250
1189000	6250
1190000	6250
1191000	6250
1192000	6250
1193000	6250
1194000	6250
1195000	6250
1196000	4687
1197000	6250
1198000	6250
1199000	6250
1200000	4687
1201000	6250
1202000	6250
1203000	6250
1204000	6250
1205000	4687
1206000	6250
1207000	6250
1208000	6250
1209000	6250
1210000	6250
1211000	6250
1212000	6250
1213000	6250
1214000	6250
1215000	6250
1216000	6250
1217000	7812
1218000	6250
1219000	6250
1220000	6250
1221000	6250
1222000	6250
1223000	6250
1224000	6250
1225000	6250
1226000	7812
1227000	6250
1228000	6250
1229000	6250
1230000	6250
1231000	6250
1232000	6250
1233000	6250
1234000	6250
1235000	6250
1236000	6250
1237000	6250
1238000	6250
1239000	6250
1240000	6250
1241000	6250
1242000	7812
1243000	6250
1244000	6250
1245000	6250
1246000	6250
1247000	6250
1248000	6250
1249000	6250
1250000	7812
1251000	6250
1252000	6250
1253000	6250
1254000	6250
1255000	6250
1256000	7812
1257000	6250
1258000	6250
1259000	6250
1260000	6250
1261000	7812
1262000	6250
1263000	6250
1264000	7812
1265000	6250
1266000	6250
1267000	7812
1268000	6250
1269000	4687
1270000	6250
1271000	7812
1272000	6250
1273000	6250
1274000	7812
1275000	6250
1276000	6250
1277000	6250
1278000	7812
1279000	6250
1280000	6250
1281000	6250
1282000	7812
1283000	6250
1284000	6250
1285000	6250
1286000	7812
1287000	6250
1288000	6250
1289000	7812
1290000	6250
1291000	6250
1292000	6250
1293000	7812
1294000	6250
1295000	7812
1296000	6250
1297000	6250
1298000	7812
1299000	6250
1300000	7812
1301000	6250
1302000	7812
1303000	6250
1304000	7812
1305000	6250
1306000	6250
1307000	7812
1308000	6250
1309000	7812
1310000	6250
1311000	6250
1312000	7812
1313000	6250
1314000	7812
1315000	6250
1316000	6250
1317000	7812
1318000	6250
1319000	7812
1320000	6250
1321000	7812
1322000	6250
1323000	7812
1324000	6250
1325000	7812
1326000	7812
1327000	6250
1328000	7812
1329000	6250
1330000	7812
1331000	6250
1332000	7812
1333000	6250
1334000	6250
1335000	7812
1336000	6250
1337000	7812
1338000	6250
1339000	7812
1340000	6250
1341000	6250
1342000	7812
1343000	6250
1344000	7812
1345000	6250
1346000	7812
1347000	6250
1348000	7812
1349000	6250
1350000	7812
1351000	7812
1352000	6250
1353000	7812
1354000	6250
1355000	7812
1356000	6250
1357000	7812
1358000	6250
1359000	7812
1360000	7812
1361000	6250
1362000	7812
1363000	7812
1364000	6250
1365000	7812
1366000	6250
1367000	7812
1368000	7812
1369000	6250
1370000	7812
1371000	7812
1372000	6250
1373000	7812
